역이름,역지역,lat,long,호선
버티고개역,수도권,37.5478239071303,127.00672181283,06호선
약수역,수도권,37.5544909839515,127.010887137982,06호선
거여역,수도권,37.4933160395092,127.143769291109,05호선
독바위역,수도권,37.6184069418122,126.93303553594,06호선
신당역,수도권,37.5656622427144,127.019468475358,06호선
동묘앞역,수도권,37.5732130585579,127.016346114277,06호선
창신역,수도권,37.5794120427143,127.015283298946,06호선
보문역,수도권,37.5855380945306,127.019994457457,06호선
안암역,수도권,37.5862930020861,127.02923341461,06호선
고려대역,수도권,37.5904356061366,127.036300356742,06호선
월곡역,수도권,37.6018044220648,127.041447136594,06호선
상월곡역,수도권,37.6065408142226,127.048811061085,06호선
돌곶이역,수도권,37.6105378127498,127.056424528377,06호선
석계역,수도권,37.6150019340823,127.065670206166,06호선
태릉입구역,수도권,37.6184559179347,127.075391704694,06호선
봉화산역,수도권,37.6173454295036,127.091361241699,06호선
장암역,수도권,37.6999529625254,127.052818308021,07호선
도봉산역,수도권,37.6895585326698,127.046053675471,07호선
수락산역,수도권,37.6778778660233,127.055341897382,07호선
마들역,수도권,37.6651909458561,127.057689943554,07호선
노원역,수도권,37.6563403562037,127.063440071354,07호선
중계역,수도권,37.6450777073231,127.064110346569,07호선
하계역,수도권,37.6364621312659,127.067977670097,07호선
태릉입구역,수도권,37.6184559179347,127.075391704694,07호선
먹골역,수도권,37.6106157806661,127.077762184215,07호선
중화역,수도권,37.6025418946255,127.079293906515,07호선
상봉역,수도권,37.5966989669088,127.085742145107,07호선
면목역,수도권,37.5886968712998,127.08749925382,07호선
사가정역,수도권,37.5809295768134,127.088486427527,07호선
용마산역,수도권,37.573704888224,127.086757224194,07호선
중곡역,수도권,37.5658680402426,127.084257974673,07호선
군자역,수도권,37.5571496975138,127.079494769075,07호선
어린이대공원역,수도권,37.5479446668453,127.074641659468,07호선
건대입구역,수도권,37.5403976062717,127.069202907348,07호선
뚝섬유원지역,수도권,37.5315511803549,127.06677359647,07호선
청구역,수도권,37.5602029883938,127.013921207826,06호선
화랑대역,수도권,37.6198379616943,127.083525948283,06호선
청담역,수도권,37.5194483760543,127.053708883222,07호선
강남구청역,수도권,37.5172008632289,127.041287183507,07호선
학동역,수도권,37.5143566006166,127.031897380783,07호선
논현역,수도권,37.5111873890283,127.02164858363,07호선
반포역,수도권,37.5081434093748,127.011581635081,07호선
고속터미널역,수도권,37.5045398449292,127.005134579686,07호선
내방역,수도권,37.4876549159776,126.993577566695,07호선
이수역,수도권,37.4867887823399,126.982202828739,07호선
남성역,수도권,37.4847862998916,126.970896635447,07호선
숭실대입구역,수도권,37.4963136741799,126.953612918928,07호선
상도역,수도권,37.5028526010093,126.94790894056,07호선
장승배기역,수도권,37.5048846414365,126.939063345317,07호선
신대방삼거리역,수도권,37.4997428128212,126.928210959471,07호선
보라매역,수도권,37.4999181359871,126.920588561199,07호선
신풍역,수도권,37.5001085601918,126.909731743281,07호선
